FLOOR,FLOOR_TYPE,FANS,LIGHTS,WIFI,PROJECTOR,SCREENS,Fan_Power_W,Fan_Cost_Peak_7hr_₹,Fan_Cost_Day_₹,Fan_Monthly_Bill_₹,Light_Power_W,Light_Cost_Peak_7hr_₹,Light_Cost_Day_₹,Light_Monthly_Bill_₹,WIFI_PROJ_Power_W,WIFI_PROJ_Cost_Peak_7hr_₹,WIFI_PROJ_Cost_Day_₹,WIFI_PROJ_Monthly_Bill_₹,Screen_Power_W,Screen_Cost_Peak_7hr_₹,Screen_Cost_Day_₹,Screen_Monthly_Bill_₹,NEW_COST_daily_TOD_₹,NEW_COST_per_month_TOD_₹
F-11,Upper/First,6,4,1,1,0,450,34.34,38.34,996.84,80,6.1,6.82,177.22,210,16.02,17.89,465.19,0,0,0,0,63.05,1639.25
G-12,Ground,6,5,1,1,0,450,34.34,38.34,996.84,100,7.63,8.52,221.52,210,16.02,17.89,465.19,0,0,0,0,64.75,1683.55
F-12,Upper/First,9,5,1,1,0,675,51.5,57.51,1495.26,100,7.63,8.52,221.52,210,16.02,17.89,465.19,0,0,0,0,83.92,2181.97
G-13,Ground,6,3,1,1,0,450,34.34,38.34,996.84,60,4.58,5.11,132.91,210,16.02,17.89,465.19,0,0,0,0,61.34,1594.94
F-13,Upper/First,7,3,1,1,0,525,40.06,44.73,1162.98,60,4.58,5.11,132.91,210,16.02,17.89,465.19,0,0,0,0,67.73,1761.08
G-14,Ground,5,6,1,1,0,375,28.61,31.95,830.7,120,9.16,10.22,265.82,210,16.02,17.89,465.19,0,0,0,0,60.07,1561.72
F-14,Upper/First,6,6,1,1,0,450,34.34,38.34,996.84,120,9.16,10.22,265.82,210,16.02,17.89,465.19,0,0,0,0,66.46,1727.86
G-15,Ground,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F-15,Upper/First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G-16,Ground,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
